2024-09-12,Monitor,961.36,Pune,CUST00101,1
2024-06-27,Mouse,1270.47,Delhi,CUST00439,5
2024-05-29,Webcam,1010.25,Chennai,CUST00654,5
2024-03-04,Keyboard,2999.21,Chennai,CUST00594,2
2024-05-05,Keyboard,3392.98,Chennai,CUST00822,2
2024-10-30,Scanner,2406.77,Hyderabad,CUST00084,2
2024-06-11,Monitor,4785.23,Hyderabad,CUST00875,1
2024-02-23,Laptop,1004.27,Hyderabad,CUST00876,1
2024-05-31,Keyboard,212.63,Delhi,CUST00378,1
2024-09-11,Printer,1408.21,Hyderabad,CUST00531,2
2024-10-20,Scanner,4895.88,Kolkata,CUST00250,2
2024-09-09,Headphones,3638.47,Mumbai,CUST00551,3
2024-12-10,Monitor,3482.4,Bangalore,CUST00961,2
2024-12-14,Webcam,4014.7,Pune,CUST00365,5
2024-12-23,Headphones,4970.01,Chennai,CUST00859,5
2024-12-19,Laptop,4163.46,Hyderabad,CUST00011,1
2024-12-05,Printer,2316.18,Bangalore,CUST00307,5
2024-09-20,Webcam,4969.01,Pune,CUST00996,2
2024-12-18,Scanner,2851.85,Hyderabad,CUST00289,3
2024-12-20,Webcam,1268.16,Ahmedabad,CUST00223,1
2024-10-07,Headphones,4206.87,Mumbai,CUST00557,5
2024-05-10,Keyboard,1583.28,Ahmedabad,CUST00747,3
2024-01-24,Printer,4434.29,Pune,CUST00387,5
2024-09-18,Printer,2270.98,Ahmedabad,CUST00497,1
2024-11-28,Printer,4574.37,Pune,CUST00080,1
2024-12-01,Laptop,3182.53,Pune,CUST00686,2
2024-01-11,Laptop,1225.92,Chennai,CUST00601,3
2024-09-09,Monitor,1275.82,Mumbai,CUST00179,2
2024-09-07,Mouse,1165.37,Delhi,CUST00759,3
2024-08-17,Headphones,4187.76,Mumbai,CUST00795,2
2024-08-26,Scanner,4832.12,Hyderabad,CUST00593,4
2024-10-19,Webcam,783.96,Delhi,CUST00721,4
2024-06-05,Webcam,2476.56,Hyderabad,CUST00578,4
2024-01-06,Headphones,4290.02,Pune,CUST00856,1
2024-08-13,Monitor,1715.1,Chennai,CUST00364,5
2024-10-23,Webcam,3202.85,Chennai,CUST00480,3
2024-11-18,Mouse,2541.35,Kolkata,CUST00437,5
2024-12-19,Laptop,2583.76,Delhi,CUST00483,3
2024-06-01,Scanner,3293.97,Delhi,CUST00064,2
2024-03-11,Laptop,3027.46,Kolkata,CUST00007,3
