101,1001,Laptop,Electronics,1200.00,2,2024-01-15,North
102,1002,Headphones,Electronics,80.00,5,2024-01-15,North
103,1003,Coffee Maker,Home,150.00,1,2024-01-16,South
104,1004,Desk Chair,Furniture,250.00,3,2024-01-16,East
105,1001,Laptop,Electronics,1200.00,1,2024-01-17,West
106,1005,Smartphone,Electronics,800.00,2,2024-01-17,North
107,1002,Headphones,Electronics,80.00,10,2024-01-18,South
108,1006,Bookshelf,Furniture,300.00,1,2024-01-18,East
109,1007,Desk Lamp,Furniture,45.00,4,2024-01-19,West
110,1003,Coffee Maker,Home,150.00,2,2024-01-19,North

